age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,y
49,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,wed,227,4,nonexistent,no
37,entrepreneur,married,university.degree,no,no,no,telephone,nov,wed,202,2,failure,no
55,retired,married,basic.4y,no,no,no,cellular,jul,mon,550,1,nonexistent,yes
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,nonexistent,no
55,retired,divorced,university.degree,no,no,no,cellular,jun,tue,368,2,nonexistent,no
29,admin.,single,university.degree,no,no,no,cellular,aug,wed,256,2,nonexistent,no
26,student,single,basic.9y,no,no,no,telephone,aug,wed,449,1,nonexistent,yes
30,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,126,2,nonexistent,no
50,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,550,1,nonexistent,no
33,admin.,single,high.school,no,yes,no,cellular,jul,tue,498,5,nonexistent,no
44,services,divorced,high.school,no,yes,no,cellular,jul,mon,158,5,nonexistent,no
32,technician,married,university.degree,no,yes,no,telephone,may,fri,93,5,nonexistent,no
26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,1,nonexistent,no
43,management,married,university.degree,no,no,yes,telephone,jul,thu,203,1,nonexistent,no
55,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,369,1,nonexistent,no
40,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,550,1,nonexistent,yes
32,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,105,1,nonexistent,no
47,technician,single,professional.course,unknown,no,no,telephone,may,tue,148,5,nonexistent,no
50,services,single,basic.4y,no,yes,no,telephone,may,tue,98,5,nonexistent,no
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,288,2,success,yes
46,services,married,unknown,no,no,no,cellular,aug,tue,177,1,nonexistent,no
39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,155,1,nonexistent,no
41,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,141,1,nonexistent,no
30,technician,single,unknown,no,yes,no,telephone,may,mon,144,3,nonexistent,no
55,unemployed,divorced,university.degree,no,no,no,cellular,mar,tue,212,3,success,yes
33,blue-collar,single,basic.4y,no,yes,no,cellular,oct,fri,146,1,failure,no
46,services,married,high.school,no,no,no,cellular,apr,wed,325,2,nonexistent,no
38,blue-collar,divorced,high.school,no,yes,yes,cellular,nov,wed,291,1,nonexistent,no
36,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,wed,103,1,nonexistent,no
30,technician,single,professional.course,no,yes,no,cellular,aug,thu,121,1,nonexistent,no
34,technician,single,high.school,no,no,no,telephone,jun,fri,236,5,nonexistent,no
55,retired,married,basic.4y,no,no,no,cellular,aug,thu,163,1,nonexistent,no
46,admin.,single,university.degree,no,yes,no,cellular,nov,tue,550,3,failure,no
44,self-employed,divorced,professional.course,no,yes,yes,cellular,jun,thu,134,1,failure,no
55,retired,married,basic.4y,unknown,yes,yes,cellular,aug,wed,89,1,nonexistent,no
32,admin.,single,university.degree,no,no,no,cellular,may,fri,550,5,nonexistent,no
34,admin.,married,university.degree,no,no,no,cellular,jul,wed,266,1,nonexistent,no
33,self-employed,married,university.degree,no,no,no,telephone,may,tue,367,5,nonexistent,no
34,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,70,1,failure,no
26,admin.,married,high.school,no,no,no,cellular,apr,mon,297,4,nonexistent,no
39,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,138,1,nonexistent,no
30,technician,married,university.degree,no,no,no,telephone,may,fri,282,2,nonexistent,no
41,technician,divorced,professional.course,no,no,no,cellular,apr,thu,550,2,failure,yes
55,unknown,married,unknown,unknown,yes,no,cellular,aug,thu,60,4,nonexistent,no
30,admin.,married,university.degree,no,no,no,telephone,jun,fri,75,1,nonexistent,no
48,services,divorced,high.school,no,no,yes,cellular,jul,mon,88,4,nonexistent,no
36,technician,single,professional.course,no,yes,no,cellular,aug,thu,474,1,nonexistent,yes
46,self-employed,married,basic.4y,no,yes,yes,cellular,nov,tue,162,1,failure,no
48,admin.,single,high.school,no,no,no,cellular,apr,mon,223,2,nonexistent,no
36,entrepreneur,married,high.school,no,yes,no,telephone,jun,mon,112,4,nonexistent,no
53,self-employed,married,university.degree,no,yes,no,telephone,may,wed,232,1,nonexistent,no
55,retired,married,basic.9y,no,yes,yes,telephone,may,wed,71,4,nonexistent,no
48,blue-collar,married,unknown,unknown,unknown,unknown,cellular,aug,thu,550,3,nonexistent,no
35,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,211,1,failure,no
50,entrepreneur,married,professional.course,unknown,yes,no,cellular,aug,thu,293,4,nonexistent,no
32,technician,single,professional.course,no,yes,yes,cellular,apr,mon,230,1,failure,no
37,technician,single,university.degree,no,no,no,telephone,jun,mon,182,2,nonexistent,no
55,services,divorced,high.school,unknown,no,no,telephone,may,mon,154,1,nonexistent,no
35,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,120,5,nonexistent,no
51,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed,440,2,nonexistent,yes
51,admin.,married,university.degree,no,no,no,cellular,jun,mon,297,4,nonexistent,yes
44,technician,divorced,professional.course,unknown,yes,no,cellular,apr,thu,172,2,nonexistent,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,121,2,nonexistent,no
36,unemployed,married,university.degree,no,no,no,cellular,jul,thu,550,2,nonexistent,no
47,admin.,single,university.degree,no,no,no,cellular,aug,thu,310,3,nonexistent,no
30,technician,single,professional.course,no,yes,no,cellular,aug,fri,126,1,nonexistent,no
32,admin.,married,university.degree,no,no,no,cellular,jul,thu,46,4,nonexistent,no
39,admin.,married,university.degree,unknown,yes,no,telephone,jul,wed,197,4,nonexistent,no
55,retired,married,professional.course,no,no,no,cellular,sep,fri,313,1,nonexistent,no
34,admin.,single,high.school,no,no,no,cellular,nov,wed,347,1,nonexistent,no
32,admin.,single,university.degree,unknown,unknown,unknown,telephone,may,tue,49,1,nonexistent,no
55,services,married,basic.4y,no,no,no,telephone,may,fri,226,1,nonexistent,no
26,blue-collar,single,basic.9y,no,no,no,cellular,jul,wed,219,1,nonexistent,no
