age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,y
49,1,1,2,1,0,0,0,7,4,227,4,1,0
37,2,1,6,0,0,0,1,7,4,202,2,0,0
55,5,1,0,0,0,0,0,3,1,550,1,1,1
36,0,1,6,0,2,0,1,6,1,120,2,1,0
55,5,0,6,0,0,0,0,4,3,368,2,1,0
29,0,2,6,0,0,0,0,1,4,256,2,1,0
26,8,2,2,0,0,0,1,1,4,449,1,1,1
30,1,1,0,0,2,0,0,7,4,126,2,1,0
50,1,1,0,1,0,0,1,6,0,550,1,1,0
33,0,2,3,0,2,0,0,3,3,498,5,1,0
44,7,0,3,0,2,0,0,3,1,158,5,1,0
32,9,1,6,0,2,0,1,6,0,93,5,1,0
26,6,2,5,0,2,0,0,3,2,71,1,1,0
43,4,1,6,0,0,2,1,3,2,203,1,1,0
55,1,1,2,0,0,0,0,6,2,369,1,1,0
40,1,1,2,0,2,0,0,6,4,550,1,1,1
32,0,0,6,0,2,0,0,1,3,105,1,1,0
47,9,2,5,1,0,0,1,6,3,148,5,1,0
50,7,2,0,0,2,0,1,6,3,98,5,1,0
34,0,2,6,0,0,2,0,5,3,288,2,2,1
46,7,1,7,0,0,0,0,1,3,177,1,1,0
39,1,1,0,0,0,0,0,6,2,155,1,1,0
41,0,0,1,0,0,0,1,3,1,141,1,1,0
30,9,2,7,0,2,0,1,6,1,144,3,1,0
55,10,0,6,0,0,0,0,5,3,212,3,2,1
33,1,2,0,0,2,0,0,8,0,146,1,0,0
46,7,1,3,0,0,0,0,0,4,325,2,1,0
38,1,0,3,0,2,2,0,7,4,291,1,1,0
36,0,0,6,1,2,2,0,3,4,103,1,1,0
30,9,2,5,0,2,0,0,1,2,121,1,1,0
34,9,2,3,0,0,0,1,4,0,236,5,1,0
55,5,1,0,0,0,0,0,1,2,163,1,1,0
46,0,2,6,0,2,0,0,7,3,550,3,0,0
44,6,0,5,0,2,2,0,4,2,134,1,0,0
55,5,1,0,1,2,2,0,1,4,89,1,1,0
32,0,2,6,0,0,0,0,6,0,550,5,1,0
34,0,1,6,0,0,0,0,3,4,266,1,1,0
33,6,1,6,0,0,0,1,6,3,367,5,1,0
34,1,1,2,0,2,0,0,0,0,70,1,0,0
26,0,1,3,0,0,0,0,0,1,297,4,1,0
39,1,1,1,0,0,0,0,6,0,138,1,1,0
30,9,1,6,0,0,0,1,6,0,282,2,1,0
41,9,0,5,0,0,0,0,0,2,550,2,0,1
55,11,1,7,1,2,0,0,1,2,60,4,1,0
30,0,1,6,0,0,0,1,4,0,75,1,1,0
48,7,0,3,0,0,2,0,3,1,88,4,1,0
36,9,2,5,0,2,0,0,1,2,474,1,1,1
46,6,1,0,0,2,2,0,7,3,162,1,0,0
48,0,2,3,0,0,0,0,0,1,223,2,1,0
36,2,1,3,0,2,0,1,4,1,112,4,1,0
53,6,1,6,0,2,0,1,6,4,232,1,1,0
55,5,1,2,0,2,2,1,6,4,71,4,1,0
48,1,1,7,1,1,1,0,1,2,550,3,1,0
35,1,1,2,0,0,0,0,6,0,211,1,0,0
50,2,1,5,1,2,0,0,1,2,293,4,1,0
32,9,2,5,0,2,2,0,0,1,230,1,0,0
37,9,2,6,0,0,0,1,4,1,182,2,1,0
55,7,0,3,1,0,0,1,6,1,154,1,1,0
35,1,2,2,0,2,0,0,3,3,120,5,1,0
51,1,1,0,0,2,0,0,6,4,440,2,1,1
51,0,1,6,0,0,0,0,4,1,297,4,1,1
44,9,0,5,1,2,0,0,0,2,172,2,1,0
36,1,1,2,0,2,0,1,6,1,121,2,1,0
36,10,1,6,0,0,0,0,3,2,550,2,1,0
47,0,2,6,0,0,0,0,1,2,310,3,1,0
30,9,2,5,0,2,0,0,1,0,126,1,1,0
32,0,1,6,0,0,0,0,3,2,46,4,1,0
39,0,1,6,1,2,0,1,3,4,197,4,1,0
55,5,1,5,0,0,0,0,9,0,313,1,1,0
34,0,2,3,0,0,0,0,7,4,347,1,1,0
32,0,2,6,1,1,1,1,6,3,49,1,1,0
55,7,1,0,0,0,0,1,6,0,226,1,1,0
26,1,2,2,0,0,0,0,3,4,219,1,1,0
39,1,1,2,0,2,0,0,6,0,36,5,1,0
39,2,1,3,1,0,2,1,6,4,173,5,1,0
39,4,1,3,0,2,0,0,7,3,84,1,1,0
45,1,1,2,1,0,0,1,6,3,107,2,1,0
40,0,2,3,0,0,0,1,6,3,371,2,1,0
49,0,1,3,0,0,0,0,1,3,36,5,1,0
48,9,2,3,0,2,2,1,6,0,115,2,1,0
26,0,2,3,0,0,0,1,6,3,268,3,1,0
49,1,0,7,1,2,0,0,3,4,284,1,1,0
